2023-03-29 23:23:53.270 , INFO , Application started , null , [] ,  - 
2023-03-29 23:23:57.121 , INFO , Create class , null , [] ,  - 
2023-03-29 23:23:59.702 , INFO , update class name , null , [wheel] ,  - 
2023-03-29 23:24:03.664 , INFO , Create attribute , null , [wheel] ,  - 
2023-03-29 23:24:21.310 , INFO , Demand Attributes Predcion  , null , [wheel] ,  - 
2023-03-29 23:24:55.397 , INFO , Demand Attributes Predcion  , null , [wheel] ,  - 
2023-03-29 23:25:00.108 , INFO , Accept from Attributs list : [Ljava.lang.Object;@3158d06c , null , [wheel] ,  - 
2023-03-29 23:25:03.906 , INFO , Demand Attributes Predcion  , null , [wheel] ,  - 
2023-03-29 23:25:06.725 , INFO , Accept from Attributs list : [Ljava.lang.Object;@4900cecd , null , [wheel] ,  - 
2023-03-29 23:25:11.164 , INFO , Demand Attributes Predcion  , null , [wheel] ,  - 
2023-03-29 23:25:16.158 , INFO , Demand Attributes Predcion  , null , [wheel] ,  - 
2023-03-29 23:25:20.539 , INFO , Demand Attributes Predcion  , null , [wheel] ,  - 
